idcom;idcomtxt;idreg;idregtxt;iddep;iddeptxt;epci24;epci24txt;scot;aav2020;aav2020txt;aav2020_typo;naf09art10;art09act10;art09hab10;art09mix10;art09rou10;art09fer10;art09inc10;naf10art11;art10act11;art10hab11;art10mix11;art10rou11;art10fer11;art10inc11;naf11art12;art11act12;art11hab12;art11mix12;art11rou12;art11fer12;art11inc12;naf12art13;art12act13;art12hab13;art12mix13;art12rou13;art12fer13;art12inc13;naf13art14;art13act14;art13hab14;art13mix14;art13rou14;art13fer14;art13inc14;naf14art15;art14act15;art14hab15;art14mix15;art14rou15;art14fer15;art14inc15;naf15art16;art15act16;art15hab16;art15mix16;art15rou16;art15fer16;art15inc16;naf16art17;art16act17;art16hab17;art16mix17;art16rou17;art16fer17;art16inc17;naf17art18;art17act18;art17hab18;art17mix18;art17rou18;art17fer18;art17inc18;naf18art19;art18act19;art18hab19;art18mix19;art18rou19;art18fer19;art18inc19;naf19art20;art19act20;art19hab20;art19mix20;art19rou20;art19fer20;art19inc20;naf20art21;art20act21;art20hab21;art20mix21;art20rou21;art20fer21;art20inc21;naf21art22;art21act22;art21hab22;art21mix22;art21rou22;art21fer22;art21inc22;naf22art23;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;art22inc23;naf23art24;art23act24;art23hab24;art23mix24;art23rou24;art23fer24;art23inc24;naf09art24;art09act24;art09hab24;art09mix24;art09inc24;art09rou24;art09fer24;artcom0924;pop15;pop21;pop1521;men15;men21;men1521;emp15;emp21;emp1521;mepart1521;menhab1521;artpop1521;surfcom2024;groupe;surface_ha;artif_total_ha;artif_habitat_ha;artif_activites_ha;taux_artif;artif_par_habitant;part_habitat
07009;Andance;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Roussillon;20;4380;537;3587;0;255;0;1;4380;538;3587;0;255;0;0;5984;0;5984;0;0;0;0;6302;0;6282;0;20;0;0;2331;1000;1070;0;261;0;0;7028;0;4680;866;1482;0;0;601;0;601;0;0;0;0;11292;0;1947;0;9345;0;0;60;0;60;0;0;0;0;6348;0;6348;0;0;0;0;2318;0;2318;0;0;0;0;1212;0;971;0;241;0;0;883;0;883;0;0;0;0;538;0;534;0;4;0;0;0;0;0;0;0;0;0;53657;2075;38852;866;1;11863;0;0.81;1170;1197;27;542;580;38;507;441;-66;-12.83;31.03;808.56;6621002;CC Porte de DrômArdèche;662.1002;5.3657;3.8852;0.2075;0.8104060382401335;1987.2962962962963;72.40807350392306
07015;Arras-sur-Rhône;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;30;Commune hors attraction des villes;30;775;0;759;0;16;0;0;776;0;760;0;16;0;0;688;0;688;0;0;0;0;0;0;0;0;0;0;0;2448;0;967;0;1481;0;0;1594;0;1594;0;0;0;0;1009;0;1009;0;0;0;0;2965;0;2965;0;0;0;0;908;0;908;0;0;0;0;3538;0;3358;0;0;0;180;837;0;830;0;7;0;0;5721;0;5707;0;14;0;0;1882;0;1882;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;30;0;23171;0;21427;0;180;1534;30;0.42;510;536;26;200;230;30;45;55;10;26.71;20.3;576.08;5551233;CC Porte de DrômArdèche;555.1233;2.3171;2.1427;0.0;0.41740276439486507;891.1923076923077;92.47335030857538
07051;Champagne;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;12;Roussillon;12;3041;271;2051;718;0;0;1;3042;272;2052;719;0;0;-1;2547;0;2530;0;17;0;0;0;0;0;0;0;0;0;2627;0;1738;0;889;0;0;1354;0;1354;0;0;0;0;2064;0;1297;117;650;0;0;1000;0;1000;0;0;0;0;661;0;0;0;661;0;0;3929;0;3929;0;0;0;0;9644;0;8829;0;815;0;0;3086;0;3086;0;0;0;0;3082;3082;0;0;0;0;0;6472;0;5997;0;475;0;0;2253;1178;1075;0;0;0;0;44802;4803;34938;1554;0;3507;0;1.08;628;590;-38;236;256;19;231;247;16;17.66;10.47;-536.42;4129318;CC Porte de DrômArdèche;412.9318;4.4802;3.4938;0.4803;1.0849733539533648;0.0;77.98312575331458
07084;Eclassan;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Saint-Vallier;20;3826;0;3618;208;0;0;0;3827;0;3618;209;0;0;0;3215;0;2418;0;797;0;0;3443;0;3409;0;34;0;0;13524;7623;4738;1100;63;0;0;4979;201;4778;0;0;0;0;14152;4560;9592;0;0;0;0;2859;0;2859;0;0;0;0;3191;0;3191;0;0;0;0;2374;0;2366;0;8;0;0;5697;0;5434;0;64;0;199;19906;0;19906;0;0;0;0;3916;0;3916;0;0;0;0;7290;0;7089;0;201;0;0;5338;0;5338;0;0;0;0;97537;12384;82270;1517;199;1167;0;0.59;992;1038;46;405;433;28;126;119;-7;4.36;6.46;1047.37;16462634;CC Porte de DrômArdèche;1646.2634;9.7537;8.227;1.2384;0.5924750559357633;2120.3695652173915;84.34747839281503
07169;Ozon;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Saint-Vallier;20;1200;0;1200;0;0;0;0;1201;0;1201;0;0;0;0;2119;0;2119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3319;0;972;352;1995;0;0;12797;3603;5235;0;3959;0;0;1308;0;0;0;1308;0;0;4219;0;4027;0;192;0;0;6955;0;6638;0;317;0;0;0;0;0;0;0;0;0;236;0;190;0;46;0;0;33416;3603;21644;352;0;7817;0;0.4;403;383;-20;156;157;1;34;33;-1;0.0;0.98;-1082.15;8374746;CC Porte de DrômArdèche;837.4746;3.3416;2.1644;0.3603;0.39900911621677837;0.0;64.77136700981566
07174;Peyraud;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Roussillon;20;3961;0;1245;0;56;0;2660;3962;0;1246;0;56;0;2660;0;0;0;0;0;0;0;4295;0;4295;0;0;0;0;2119;0;720;1399;0;0;0;4932;0;4932;0;0;0;0;730;0;730;0;0;0;0;0;0;0;0;0;0;0;488;488;0;0;0;0;0;530;0;530;0;0;0;0;1636;0;1636;0;0;0;0;3654;0;2033;1621;0;0;0;5673;0;5630;0;43;0;0;1997;0;1980;0;17;0;0;2021;0;1778;0;243;0;0;35998;488;26755;3020;5320;415;0;0.6;514;505;-9;225;239;13;43;36;-7;9.95;26.37;-782.0;6018768;CC Porte de DrômArdèche;601.8768;3.5998;2.6755;0.0488;0.5980958229325337;0.0;74.32357353186289
07234;Saint-Étienne-de-Valoux;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Annonay;20;761;0;99;0;175;0;487;762;0;100;0;175;0;487;1458;0;1458;0;0;0;0;1000;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1220;0;1220;0;0;0;0;1000;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;606;0;606;0;0;0;0;554;0;554;0;0;0;0;7361;0;6037;0;974;350;0;0.31;289;285;-4;98;105;7;32;36;4;49.55;31.53;-555.0;2393767;CC Porte de DrômArdèche;239.3767;0.7361;0.6037;0.0;0.3075069545198008;0.0;82.01331340850429
07308;Sarras;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;12;Saint-Vallier;12;9996;766;8753;0;476;0;1;9997;767;8754;0;477;0;-1;6938;0;6938;0;0;0;0;6483;0;5645;646;192;0;0;2041;0;1820;0;221;0;0;29141;2000;20638;0;6503;0;0;4980;0;4625;0;355;0;0;2214;0;2214;0;0;0;0;1835;0;1703;0;132;0;0;3182;0;1687;0;576;0;919;13392;9871;3521;0;0;0;0;4116;0;4116;0;0;0;0;5600;1196;4404;0;0;0;0;3218;3218;0;0;0;0;0;2415;0;2415;0;0;0;0;105548;17818;77233;646;919;8932;0;0.91;2107;2233;126;920;1039;119;578;806;228;116.42;66.61;235.87;11579081;CC Porte de DrômArdèche;1157.9081;10.5548;7.7233;1.7818;0.911540389086146;837.6825396825396;73.17334293402054
26002;Albon;84;Auvergne-Rhône-Alpes;26;Drôme;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Roussillon;20;46030;12249;10074;0;929;0;22778;46031;12249;10075;0;930;0;22777;6419;0;6364;0;55;0;0;9028;0;8175;0;853;0;0;5220;0;5220;0;0;0;0;67070;5000;62070;0;0;0;0;2975;0;2975;0;0;0;0;21649;21000;649;0;0;0;0;12182;5635;6547;0;0;0;0;22539;22539;0;0;0;0;0;111269;106357;4263;0;649;0;0;18782;9998;8784;0;0;0;0;16825;7926;8899;0;0;0;0;13111;1387;11718;0;6;0;0;41412;22440;15796;575;2600;0;1;440542;226780;161609;575;45556;6022;0;1.69;1879;1951;72;768;807;39;624;906;282;16.95;16.8;2630.5;26030720;CC Porte de DrômArdèche;2603.072;44.0542;16.1609;22.678;1.6923926806480958;6118.638888888889;36.684130003495696
26009;Andancette;84;Auvergne-Rhône-Alpes;26;Drôme;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Roussillon;20;4474;2780;1523;0;0;0;171;4474;2780;1524;0;0;0;170;2467;0;1653;814;0;0;0;746;0;746;0;0;0;0;16505;6310;2577;0;7618;0;0;1145;0;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4517;1128;3389;0;0;0;0;5343;4600;743;0;0;0;0;10730;0;6654;0;4075;0;1;87385;77810;8260;0;1315;0;0;5672;3940;1732;0;0;0;0;61029;46814;1786;0;1516;5603;5310;25065;17907;3697;0;3461;0;0;229552;164069;35429;814;5652;17985;5603;3.79;1344;1309;-35;570;593;23;359;405;46;6.48;12.08;-3085.0;6059696;CC Porte de DrômArdèche;605.9696;22.9552;3.5429;16.4069;3.788176832633188;0.0;15.43397574405799
