idcom;idcomtxt;idreg;idregtxt;iddep;iddeptxt;epci24;epci24txt;scot;aav2020;aav2020txt;aav2020_typo;naf09art10;art09act10;art09hab10;art09mix10;art09rou10;art09fer10;art09inc10;naf10art11;art10act11;art10hab11;art10mix11;art10rou11;art10fer11;art10inc11;naf11art12;art11act12;art11hab12;art11mix12;art11rou12;art11fer12;art11inc12;naf12art13;art12act13;art12hab13;art12mix13;art12rou13;art12fer13;art12inc13;naf13art14;art13act14;art13hab14;art13mix14;art13rou14;art13fer14;art13inc14;naf14art15;art14act15;art14hab15;art14mix15;art14rou15;art14fer15;art14inc15;naf15art16;art15act16;art15hab16;art15mix16;art15rou16;art15fer16;art15inc16;naf16art17;art16act17;art16hab17;art16mix17;art16rou17;art16fer17;art16inc17;naf17art18;art17act18;art17hab18;art17mix18;art17rou18;art17fer18;art17inc18;naf18art19;art18act19;art18hab19;art18mix19;art18rou19;art18fer19;art18inc19;naf19art20;art19act20;art19hab20;art19mix20;art19rou20;art19fer20;art19inc20;naf20art21;art20act21;art20hab21;art20mix21;art20rou21;art20fer21;art20inc21;naf21art22;art21act22;art21hab22;art21mix22;art21rou22;art21fer22;art21inc22;naf22art23;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;art22inc23;naf23art24;art23act24;art23hab24;art23mix24;art23rou24;art23fer24;art23inc24;naf09art24;art09act24;art09hab24;art09mix24;art09inc24;art09rou24;art09fer24;artcom0924;pop15;pop21;pop1521;men15;men21;men1521;emp15;emp21;emp1521;mepart1521;menhab1521;artpop1521;surfcom2024;groupe;surface_ha;artif_total_ha;artif_habitat_ha;artif_activites_ha;taux_artif;artif_par_habitant;part_habitat
07009;Andance;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;20;Roussillon;20;4380;537;3587;0;255;0;1;4380;538;3587;0;255;0;0;5984;0;5984;0;0;0;0;6302;0;6282;0;20;0;0;2331;1000;1070;0;261;0;0;7028;0;4680;866;1482;0;0;601;0;601;0;0;0;0;11292;0;1947;0;9345;0;0;60;0;60;0;0;0;0;6348;0;6348;0;0;0;0;2318;0;2318;0;0;0;0;1212;0;971;0;241;0;0;883;0;883;0;0;0;0;538;0;534;0;4;0;0;0;0;0;0;0;0;0;53657;2075;38852;866;1;11863;0;0.81;1170;1197;27;542;580;38;507;441;-66;-12.83;31.03;808.56;6621002;SCoT Rives du Rhône;662.1002;5.3657;3.8852;0.2075;0.8104060382401335;1987.2962962962963;72.40807350392306
07010;Annonay;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;11;Annonay;11;90200;11856;62231;0;16112;0;1;90200;11856;62231;0;16113;0;0;22454;2379;18242;967;866;0;0;14935;2580;7505;0;4028;0;822;13347;0;13007;0;340;0;0;22288;136;21626;0;526;0;0;65016;2322;51812;0;10881;0;1;34722;5658;24373;0;4691;0;0;18104;10927;6630;0;547;0;0;23010;3478;18645;0;886;0;1;22716;2000;14905;0;5811;0;0;53811;44737;9074;0;0;0;0;18825;13005;5801;0;19;0;0;27989;8759;19073;0;157;0;0;15526;2894;12632;0;0;0;0;533143;122587;347787;967;825;60977;0;2.53;16698;16873;175;8088;8320;232;10578;10634;56;13.25;18.5;1242.17;21113995;SCoT Rives du Rhône;2111.3995;53.3143;34.7787;12.2587;2.5250692727738167;3046.5314285714285;65.23334264915792
07013;Ardoix;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;20;Annonay;20;13876;712;10536;0;1094;0;1534;13876;712;10537;0;1095;0;1532;3329;0;3311;0;18;0;0;12035;0;12035;0;0;0;0;13925;0;8061;1303;4560;0;1;9738;3424;5208;0;1106;0;0;16433;0;15323;0;1109;0;1;4522;1392;2922;0;208;0;0;9542;2798;5898;0;846;0;0;8141;0;8141;0;0;0;0;7177;0;7177;0;0;0;0;23457;0;23104;341;11;0;1;11639;0;7304;0;4335;0;0;4853;0;4827;0;26;0;0;18318;0;17932;0;386;0;0;170861;9038;142316;1644;3069;14794;0;1.39;1226;1264;38;460;513;53;181;224;44;14.0;8.47;1822.95;12301868;SCoT Rives du Rhône;1230.1868;17.0861;14.2316;0.9038;1.3889028885694432;4496.3421052631575;83.2934373555112
07015;Arras-sur-Rhône;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;30;Commune hors attraction des villes;30;775;0;759;0;16;0;0;776;0;760;0;16;0;0;688;0;688;0;0;0;0;0;0;0;0;0;0;0;2448;0;967;0;1481;0;0;1594;0;1594;0;0;0;0;1009;0;1009;0;0;0;0;2965;0;2965;0;0;0;0;908;0;908;0;0;0;0;3538;0;3358;0;0;0;180;837;0;830;0;7;0;0;5721;0;5707;0;14;0;0;1882;0;1882;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;30;0;23171;0;21427;0;180;1534;30;0.42;510;536;26;200;230;30;45;55;10;26.71;20.3;576.08;5551233;SCoT Rives du Rhône;555.1233;2.3171;2.1427;0.0;0.41740276439486507;891.1923076923077;92.47335030857538
07036;Bogy;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;20;Annonay;20;13450;0;13010;0;439;0;1;13450;0;13010;0;440;0;0;3084;0;3084;0;0;0;0;10257;0;10257;0;0;0;0;2695;0;2695;0;0;0;0;1560;0;1560;0;0;0;0;444;0;444;0;0;0;0;2166;0;2161;0;5;0;0;1872;0;1872;0;0;0;0;7851;0;7815;0;36;0;0;1892;0;1892;0;0;0;0;2114;0;2114;0;0;0;0;8193;0;7950;0;243;0;0;6495;0;6015;0;480;0;0;1234;0;1202;0;32;0;0;76757;0;75081;0;1;1675;0;1.08;429;455;26;154;177;23;59;46;-13;6.12;14.11;628.42;7100321;SCoT Rives du Rhône;710.0321;7.6757;7.5081;0.0;1.0810356320510017;2952.1923076923076;97.81648579282671
07041;Boulieu-lès-Annonay;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;12;Annonay;12;8677;0;6473;0;2203;0;1;8677;0;6474;0;2204;0;-1;9470;103;8864;267;236;0;0;4453;0;4337;0;116;0;0;15190;0;12738;0;2452;0;0;11046;1000;10046;0;0;0;0;5738;0;5564;0;174;0;0;3297;0;3160;0;137;0;0;1940;0;1935;0;5;0;0;7928;0;7928;0;0;0;0;6654;4325;2329;0;0;0;0;2623;0;2623;0;0;0;0;6838;0;6838;0;0;0;0;12126;209;11839;0;78;0;0;4107;0;4107;0;0;0;0;108764;5637;95255;267;0;7605;0;1.14;2235;2294;59;968;1033;65;422;472;49;40.45;27.61;477.63;9543453;SCoT Rives du Rhône;954.3453;10.8764;9.5255;0.5637;1.1396713537542438;1843.457627118644;87.57952999154132
07044;Brossainc;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;20;Annonay;20;2504;0;2487;0;17;0;0;2505;0;2488;0;17;0;0;749;0;749;0;0;0;0;3087;0;2547;0;540;0;0;1799;0;1799;0;0;0;0;2096;0;1576;0;520;0;0;2257;0;1500;0;757;0;0;565;565;0;0;0;0;0;6285;0;5489;0;796;0;0;3110;0;3064;0;46;0;0;0;0;0;0;0;0;0;1998;0;1998;0;0;0;0;4787;0;4748;0;39;0;0;8416;0;8416;0;0;0;0;3164;0;3164;0;0;0;0;43322;565;40025;0;0;2732;0;0.98;264;252;-12;95;102;7;33;19;-14;-4.92;5.81;-1184.58;4429860;SCoT Rives du Rhône;442.986;4.3322;4.0025;0.0565;0.9779541565647673;0.0;92.38954803564009
07051;Champagne;84;Auvergne-Rhône-Alpes;07;Ardèche;200040491;Communauté de communes Porte de DrômArdèche;SCoT des Rives du Rhône;12;Roussillon;12;3041;271;2051;718;0;0;1;3042;272;2052;719;0;0;-1;2547;0;2530;0;17;0;0;0;0;0;0;0;0;0;2627;0;1738;0;889;0;0;1354;0;1354;0;0;0;0;2064;0;1297;117;650;0;0;1000;0;1000;0;0;0;0;661;0;0;0;661;0;0;3929;0;3929;0;0;0;0;9644;0;8829;0;815;0;0;3086;0;3086;0;0;0;0;3082;3082;0;0;0;0;0;6472;0;5997;0;475;0;0;2253;1178;1075;0;0;0;0;44802;4803;34938;1554;0;3507;0;1.08;628;590;-38;236;256;19;231;247;16;17.66;10.47;-536.42;4129318;SCoT Rives du Rhône;412.9318;4.4802;3.4938;0.4803;1.0849733539533648;0.0;77.98312575331458
07056;Charnas;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;20;Roussillon;20;10395;0;9100;0;1295;0;0;10396;0;9100;0;1296;0;0;16539;0;15279;0;1260;0;0;3595;0;3595;0;0;0;0;9934;0;9069;0;865;0;0;3163;0;3113;0;50;0;0;6033;610;5423;0;0;0;0;5113;1500;3613;0;0;0;0;668;100;568;0;0;0;0;5555;0;5555;0;0;0;0;0;0;0;0;0;0;0;1006;0;1006;0;0;0;0;1337;0;1260;0;77;0;0;7881;0;7881;0;0;0;0;1103;0;816;0;287;0;0;82718;2210;75378;0;0;5130;0;1.51;909;907;-2;350;347;-3;99;107;8;2.18;-1.86;-9187.5;5491707;SCoT Rives du Rhône;549.1707;8.2718;7.5378;0.221;1.506234764527678;0.0;91.12647791290892
07067;Colombier-le-Cardinal;84;Auvergne-Rhône-Alpes;07;Ardèche;200072015;Communauté d'agglomération Annonay Rhône Agglo;SCoT des Rives du Rhône;20;Annonay;20;1905;0;1399;0;506;0;0;1905;0;1399;0;506;0;0;3336;0;2783;0;553;0;0;0;0;0;0;0;0;0;1450;0;1450;0;0;0;0;1903;0;1903;0;0;0;0;12013;0;3628;0;0;0;8385;500;0;500;0;0;0;0;4387;0;4310;0;77;0;0;3257;0;3257;0;0;0;0;1600;0;1600;0;0;0;0;757;0;757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284;0;114;0;170;0;0;33297;0;23100;0;8385;1812;0;1.31;274;328;54;106;128;21;23;23;-1;9.33;14.94;416.93;2534529;SCoT Rives du Rhône;253.4529;3.3297;2.31;0.0;1.3137352147085315;616.6111111111111;69.37561942517344
